stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\SAMO\Desktop\ZeldaHy454\Zelda\x64\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00000] Also searching C:\Users\SAMO\Desktop\ZeldaHy454\Zelda\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00047] added dtor for queue 000001FB5A91F980, func 00007FF83C2D1C30
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00085] Also searching C:\Users\SAMO\Desktop\ZeldaHy454\Zelda\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00125] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00136] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.01288] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.05587] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.05700] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.05717] al_display=000001FB5A9A57D0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.05728] al_display->vt=000001FB5A9A5620
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.06925] found 288 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.06940] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06950] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.06960] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06970] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.06979] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07000] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.07010] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07022] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.07034] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07043] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.07056] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07067] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.07076] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07089] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.07099] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07111] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.07119] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07166] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.07178] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07189] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07199] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07211] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07219] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07232] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.07242] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07254] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.07263] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07278] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.07288] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07299] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.07309] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07326] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.07334] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07347] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.07355] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07366] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.07400] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07412] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07427] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07440] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07450] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07490] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.07499] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07512] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.07523] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07533] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.07543] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07555] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.07564] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07578] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.07589] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07604] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.07615] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07632] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.07642] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07652] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07662] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07674] Score is : 897
